CONTAINER ID        IMAGE                                   COMMAND                CREATED             STATUS                        PORTS                   NAMES
d62c55847949        implementierung20_loadbalancer:latest   "/bin/sh -c '/usr/sb   2 minutes ago       Up 2 minutes                  0.0.0.0:32813->80/tcp   implementierung20_loadbalancer_1   
d31dc0481b86        implementierung20_app:latest            "/bin/sh -c 'supervi   2 minutes ago       Up 2 minutes                  80/tcp                  implementierung20_app_1            
3a18a346d46f        implementierung20_database:latest       "/bin/sh -c mysqld"    2 minutes ago       Exited (1) 2 minutes ago                              implementierung20_database_1       
84eb7823cf5d        implementierung20_search:latest         "/bin/sh -c '/var/li   2 minutes ago       Up 2 minutes                  8080/tcp                implementierung20_search_1         
3386b8fb85e1        implementierung20_cache:latest          "/bin/sh -c redis-se   2 minutes ago       Up 2 minutes                  6379/tcp                implementierung20_cache_1          
68b5acbe6188        implementierung19_loadbalancer:latest   "/bin/sh -c '/usr/sb   2 minutes ago       Up 2 minutes                  0.0.0.0:32812->80/tcp   implementierung19_loadbalancer_1   
44ed3e5fce05        implementierung19_app:latest            "/bin/sh -c 'supervi   2 minutes ago       Up 2 minutes                  80/tcp                  implementierung19_app_1            
989cdc855cab        implementierung19_database:latest       "/bin/sh -c mysqld"    2 minutes ago       Exited (1) 2 minutes ago                              implementierung19_database_1       
c2c015f28e91        implementierung19_search:latest         "/bin/sh -c '/var/li   2 minutes ago       Up 2 minutes                  8080/tcp                implementierung19_search_1         
eaac8b8ac5d7        implementierung19_cache:latest          "/bin/sh -c redis-se   2 minutes ago       Up 2 minutes                  6379/tcp                implementierung19_cache_1          
be09e7d78e6f        implementierung18_loadbalancer:latest   "/bin/sh -c '/usr/sb   2 minutes ago       Up 2 minutes                  0.0.0.0:32811->80/tcp   implementierung18_loadbalancer_1   
e37a2023de53        implementierung18_app:latest            "/bin/sh -c 'supervi   2 minutes ago       Up 2 minutes                  80/tcp                  implementierung18_app_1            
deb3e9af909a        implementierung18_database:latest       "/bin/sh -c mysqld"    2 minutes ago       Up 2 minutes                  3306/tcp                implementierung18_database_1       
c31a806d7ad4        implementierung18_search:latest         "/bin/sh -c '/var/li   2 minutes ago       Up 2 minutes                  8080/tcp                implementierung18_search_1         
47626c6bac5a        implementierung18_cache:latest          "/bin/sh -c redis-se   2 minutes ago       Up 2 minutes                  6379/tcp                implementierung18_cache_1          
2fdda0d6343e        implementierung17_loadbalancer:latest   "/bin/sh -c '/usr/sb   2 minutes ago       Up 2 minutes                  0.0.0.0:32810->80/tcp   implementierung17_loadbalancer_1   
67e5cc2fc9b1        implementierung17_app:latest            "/bin/sh -c 'supervi   2 minutes ago       Up 2 minutes                  80/tcp                  implementierung17_app_1            
113af6fb1902        implementierung17_database:latest       "/bin/sh -c mysqld"    2 minutes ago       Up 2 minutes                  3306/tcp                implementierung17_database_1       
2489ace584f5        implementierung17_search:latest         "/bin/sh -c '/var/li   2 minutes ago       Exited (1) 33 seconds ago                             implementierung17_search_1         
dc7480e3983e        implementierung17_cache:latest          "/bin/sh -c redis-se   2 minutes ago       Up 2 minutes                  6379/tcp                implementierung17_cache_1          
2c3c6a32dde4        implementierung16_loadbalancer:latest   "/bin/sh -c '/usr/sb   2 minutes ago       Up 2 minutes                  0.0.0.0:32809->80/tcp   implementierung16_loadbalancer_1   
669c63148ddd        implementierung16_app:latest            "/bin/sh -c 'supervi   2 minutes ago       Up 2 minutes                  80/tcp                  implementierung16_app_1            
93af1fb38cb7        implementierung16_search:latest         "/bin/sh -c '/var/li   2 minutes ago       Up 2 minutes                  8080/tcp                implementierung16_search_1         
2022745eee7d        implementierung16_database:latest       "/bin/sh -c mysqld"    2 minutes ago       Up 2 minutes                  3306/tcp                implementierung16_database_1       
f1e1235ccad8        implementierung16_cache:latest          "/bin/sh -c redis-se   2 minutes ago       Up 2 minutes                  6379/tcp                implementierung16_cache_1          
03d424ecab7e        implementierung15_loadbalancer:latest   "/bin/sh -c '/usr/sb   2 minutes ago       Up 2 minutes                  0.0.0.0:32808->80/tcp   implementierung15_loadbalancer_1   
a5230670fb0b        implementierung15_app:latest            "/bin/sh -c 'supervi   3 minutes ago       Up 2 minutes                  80/tcp                  implementierung15_app_1            
2e6970eba4eb        implementierung15_database:latest       "/bin/sh -c mysqld"    3 minutes ago       Up 3 minutes                  3306/tcp                implementierung15_database_1       
3d5df88a6e03        implementierung15_search:latest         "/bin/sh -c '/var/li   3 minutes ago       Up 3 minutes                  8080/tcp                implementierung15_search_1         
38c242241b91        implementierung15_cache:latest          "/bin/sh -c redis-se   3 minutes ago       Up 3 minutes                  6379/tcp                implementierung15_cache_1          
4b5a1e904b08        implementierung14_loadbalancer:latest   "/bin/sh -c '/usr/sb   3 minutes ago       Up 3 minutes                  0.0.0.0:32807->80/tcp   implementierung14_loadbalancer_1   
f59650cd4ede        implementierung14_app:latest            "/bin/sh -c 'supervi   3 minutes ago       Up 3 minutes                  80/tcp                  implementierung14_app_1            
521bd40634b9        implementierung14_database:latest       "/bin/sh -c mysqld"    3 minutes ago       Up 3 minutes                  3306/tcp                implementierung14_database_1       
93749bcf666c        implementierung14_search:latest         "/bin/sh -c '/var/li   3 minutes ago       Up 3 minutes                  8080/tcp                implementierung14_search_1         
f4d218cbc63c        implementierung14_cache:latest          "/bin/sh -c redis-se   3 minutes ago       Up 3 minutes                  6379/tcp                implementierung14_cache_1          
6ef875782201        implementierung13_loadbalancer:latest   "/bin/sh -c '/usr/sb   3 minutes ago       Up 3 minutes                  0.0.0.0:32806->80/tcp   implementierung13_loadbalancer_1   
6ab6351f93c3        implementierung13_app:latest            "/bin/sh -c 'supervi   3 minutes ago       Up 3 minutes                  80/tcp                  implementierung13_app_1            
416c9c08e30a        implementierung13_database:latest       "/bin/sh -c mysqld"    3 minutes ago       Up 3 minutes                  3306/tcp                implementierung13_database_1       
6ebd8abf54e5        implementierung13_search:latest         "/bin/sh -c '/var/li   3 minutes ago       Exited (1) 33 seconds ago                             implementierung13_search_1         
e62f4477090e        implementierung13_cache:latest          "/bin/sh -c redis-se   3 minutes ago       Up 3 minutes                  6379/tcp                implementierung13_cache_1          
74081e266c2b        implementierung12_app:latest            "/bin/sh -c 'supervi   3 minutes ago       Up 3 minutes                  80/tcp                  implementierung12_app_1            
8e5f87ecc17d        implementierung12_loadbalancer:latest   "/bin/sh -c '/usr/sb   3 minutes ago       Up 3 minutes                  0.0.0.0:32805->80/tcp   implementierung12_loadbalancer_1   
6776a2c8426b        implementierung12_database:latest       "/bin/sh -c mysqld"    3 minutes ago       Up 3 minutes                  3306/tcp                implementierung12_database_1       
e7b2d8e94251        implementierung12_search:latest         "/bin/sh -c '/var/li   3 minutes ago       Up 3 minutes                  8080/tcp                implementierung12_search_1         
c2cf7b77c2db        implementierung12_cache:latest          "/bin/sh -c redis-se   3 minutes ago       Up 3 minutes                  6379/tcp                implementierung12_cache_1          
7d6d8d92d1a8        implementierung11_loadbalancer:latest   "/bin/sh -c '/usr/sb   3 minutes ago       Up 3 minutes                  0.0.0.0:32804->80/tcp   implementierung11_loadbalancer_1   
08c442d42e1b        implementierung11_app:latest            "/bin/sh -c 'supervi   3 minutes ago       Up 3 minutes                  80/tcp                  implementierung11_app_1            
4213f924d32a        implementierung11_database:latest       "/bin/sh -c mysqld"    3 minutes ago       Up 3 minutes                  3306/tcp                implementierung11_database_1       
2346b4d4f8ea        implementierung11_search:latest         "/bin/sh -c '/var/li   3 minutes ago       Up 3 minutes                  8080/tcp                implementierung11_search_1         
f715c39198d8        implementierung11_cache:latest          "/bin/sh -c redis-se   3 minutes ago       Up 3 minutes                  6379/tcp                implementierung11_cache_1          
0cdbf9ae1ccc        implementierung10_loadbalancer:latest   "/bin/sh -c '/usr/sb   3 minutes ago       Up 3 minutes                  0.0.0.0:32803->80/tcp   implementierung10_loadbalancer_1   
32e0d43682e8        implementierung10_app:latest            "/bin/sh -c 'supervi   3 minutes ago       Up 3 minutes                  80/tcp                  implementierung10_app_1            
79100f317e0d        implementierung10_database:latest       "/bin/sh -c mysqld"    3 minutes ago       Up 3 minutes                  3306/tcp                implementierung10_database_1       
7d38ebb47a69        implementierung10_search:latest         "/bin/sh -c '/var/li   3 minutes ago       Up 3 minutes                  8080/tcp                implementierung10_search_1         
ef3e9e639adc        implementierung10_cache:latest          "/bin/sh -c redis-se   3 minutes ago       Up 3 minutes                  6379/tcp                implementierung10_cache_1          
6d47ee63a13f        implementierung9_loadbalancer:latest    "/bin/sh -c '/usr/sb   3 minutes ago       Up 3 minutes                  0.0.0.0:32802->80/tcp   implementierung9_loadbalancer_1    
652791af2abb        implementierung9_app:latest             "/bin/sh -c 'supervi   3 minutes ago       Up 3 minutes                  80/tcp                  implementierung9_app_1             
7414abd98829        implementierung9_database:latest        "/bin/sh -c mysqld"    3 minutes ago       Exited (137) 36 seconds ago                           implementierung9_database_1        
42d86200e096        implementierung9_search:latest          "/bin/sh -c '/var/li   3 minutes ago       Up 3 minutes                  8080/tcp                implementierung9_search_1          
0bfed77a0bfd        implementierung9_cache:latest           "/bin/sh -c redis-se   3 minutes ago       Up 3 minutes                  6379/tcp                implementierung9_cache_1           
a4bf05ae9cbe        implementierung7_loadbalancer:latest    "/bin/sh -c '/usr/sb   4 minutes ago       Up 4 minutes                  0.0.0.0:32801->80/tcp   implementierung7_loadbalancer_1    
415586b5402e        implementierung7_app:latest             "/bin/sh -c 'supervi   4 minutes ago       Up 4 minutes                  80/tcp                  implementierung7_app_1             
308d74f55e18        implementierung7_database:latest        "/bin/sh -c mysqld"    4 minutes ago       Up 4 minutes                  3306/tcp                implementierung7_database_1        
e7a0e6ae708c        implementierung7_search:latest          "/bin/sh -c '/var/li   4 minutes ago       Up 4 minutes                  8080/tcp                implementierung7_search_1          
2ae00150f6b0        implementierung7_cache:latest           "/bin/sh -c redis-se   4 minutes ago       Up 4 minutes                  6379/tcp                implementierung7_cache_1           
92b1f103e055        implementierung6_loadbalancer:latest    "/bin/sh -c '/usr/sb   4 minutes ago       Up 4 minutes                  0.0.0.0:32800->80/tcp   implementierung6_loadbalancer_1    
d6e8a5eea08c        implementierung6_app:latest             "/bin/sh -c 'supervi   4 minutes ago       Up 4 minutes                  80/tcp                  implementierung6_app_1             
39ed1cce27e3        implementierung6_database:latest        "/bin/sh -c mysqld"    4 minutes ago       Up 4 minutes                  3306/tcp                implementierung6_database_1        
754fcbf03933        implementierung6_search:latest          "/bin/sh -c '/var/li   4 minutes ago       Up 4 minutes                  8080/tcp                implementierung6_search_1          
d6b1e2d5eb79        implementierung6_cache:latest           "/bin/sh -c redis-se   4 minutes ago       Up 4 minutes                  6379/tcp                implementierung6_cache_1           
47a495e07421        implementierung5_loadbalancer:latest    "/bin/sh -c '/usr/sb   4 minutes ago       Up 4 minutes                  0.0.0.0:32799->80/tcp   implementierung5_loadbalancer_1    
c47bad928efa        implementierung5_app:latest             "/bin/sh -c 'supervi   4 minutes ago       Up 4 minutes                  80/tcp                  implementierung5_app_1             
5456c9042900        implementierung5_database:latest        "/bin/sh -c mysqld"    4 minutes ago       Up 4 minutes                  3306/tcp                implementierung5_database_1        
ef52f234e73f        implementierung5_search:latest          "/bin/sh -c '/var/li   4 minutes ago       Up 4 minutes                  8080/tcp                implementierung5_search_1          
f7effcf1d208        implementierung5_cache:latest           "/bin/sh -c redis-se   4 minutes ago       Up 4 minutes                  6379/tcp                implementierung5_cache_1           
900325b4cc1b        implementierung4_loadbalancer:latest    "/bin/sh -c '/usr/sb   4 minutes ago       Up 4 minutes                  0.0.0.0:32798->80/tcp   implementierung4_loadbalancer_1    
3b72ecf586d3        implementierung4_database:latest        "/bin/sh -c mysqld"    4 minutes ago       Up 4 minutes                  3306/tcp                implementierung4_database_1        
7da1852c1484        implementierung4_app:latest             "/bin/sh -c 'supervi   4 minutes ago       Up 4 minutes                  80/tcp                  implementierung4_app_1             
d00f94066613        implementierung4_search:latest          "/bin/sh -c '/var/li   4 minutes ago       Up 4 minutes                  8080/tcp                implementierung4_search_1          
44ab014c8cf6        implementierung4_cache:latest           "/bin/sh -c redis-se   4 minutes ago       Up 4 minutes                  6379/tcp                implementierung4_cache_1           
045255af8687        implementierung3_loadbalancer:latest    "/bin/sh -c '/usr/sb   4 minutes ago       Up 4 minutes                  0.0.0.0:32797->80/tcp   implementierung3_loadbalancer_1    
1ccb4b6dcdbd        implementierung3_app:latest             "/bin/sh -c 'supervi   4 minutes ago       Up 4 minutes                  80/tcp                  implementierung3_app_1             
f713ce281c0c        implementierung3_database:latest        "/bin/sh -c mysqld"    4 minutes ago       Up 4 minutes                  3306/tcp                implementierung3_database_1        
11d0f9b0e28c        implementierung3_cache:latest           "/bin/sh -c redis-se   4 minutes ago       Up 4 minutes                  6379/tcp                implementierung3_cache_1           
ae3bfce4eec1        implementierung3_search:latest          "/bin/sh -c '/var/li   4 minutes ago       Up 4 minutes                  8080/tcp                implementierung3_search_1          
c943c5872fa1        implementierung2_app:latest             "/bin/sh -c 'supervi   4 minutes ago       Up 4 minutes                  80/tcp                  implementierung2_app_1             
214e4787ef40        implementierung2_loadbalancer:latest    "/bin/sh -c '/usr/sb   4 minutes ago       Up 4 minutes                  0.0.0.0:32796->80/tcp   implementierung2_loadbalancer_1    
dc00b6fdb865        implementierung2_database:latest        "/bin/sh -c mysqld"    4 minutes ago       Up 4 minutes                  3306/tcp                implementierung2_database_1        
fc04d0f230ed        implementierung2_cache:latest           "/bin/sh -c redis-se   4 minutes ago       Up 4 minutes                  6379/tcp                implementierung2_cache_1           
80ab23048d20        implementierung2_search:latest          "/bin/sh -c '/var/li   4 minutes ago       Up 4 minutes                  8080/tcp                implementierung2_search_1          
3bac8a807ace        implementierung_loadbalancer:latest     "/bin/sh -c '/usr/sb   7 minutes ago       Up 7 minutes                  0.0.0.0:32795->80/tcp   implementierung_loadbalancer_1     
53dc1717a157        implementierung_app:latest              "/bin/sh -c 'supervi   7 minutes ago       Up 7 minutes                  80/tcp                  implementierung_app_1              
4a241a8c05b3        implementierung_database:latest         "/bin/sh -c mysqld"    7 minutes ago       Up 7 minutes                  3306/tcp                implementierung_database_1         
9934dd3840a3        implementierung_cache:latest            "/bin/sh -c redis-se   7 minutes ago       Up 7 minutes                  6379/tcp                implementierung_cache_1            
c2b2e07c5634        implementierung_search:latest           "/bin/sh -c '/var/li   7 minutes ago       Up 7 minutes                  8080/tcp                implementierung_search_1           
